s,x,y,kappa,n_l,n_r
16.65,3.424,2.202,0.941,0.35,0.491
16.7,3.474,2.208,0.882,0.354,0.491
16.75,3.523,2.216,0.814,0.36,0.491
16.8,3.572,2.227,0.738,0.368,0.491
16.85,3.621,2.239,0.658,0.377,0.492
16.9,3.669,2.252,0.574,0.386,0.493
16.95,3.716,2.267,0.487,0.397,0.495
17.0,3.764,2.284,0.398,0.408,0.496
17.05,3.811,2.301,0.309,0.42,0.498
17.1,3.857,2.319,0.22,0.431,0.5
17.15,3.904,2.337,0.133,0.443,0.501
17.2,3.95,2.356,0.049,0.455,0.503
17.25,3.997,2.375,-0.03,0.466,0.505
17.3,4.043,2.393,-0.104,0.477,0.507
17.35,4.089,2.412,-0.172,0.487,0.509
17.4,4.136,2.43,-0.231,0.496,0.51
17.45,4.183,2.447,-0.281,0.504,0.511
17.5,4.23,2.464,-0.321,0.511,0.512
17.55,4.277,2.48,-0.352,0.517,0.513
17.6,4.325,2.496,-0.372,0.522,0.514
17.65,4.373,2.51,-0.384,0.526,0.514
17.7,4.421,2.523,-0.387,0.528,0.514
17.75,4.469,2.536,-0.383,0.53,0.514
17.8,4.518,2.547,-0.373,0.53,0.513
17.85,4.567,2.558,-0.359,0.53,0.513
17.9,4.616,2.568,-0.34,0.529,0.512
17.95,4.665,2.577,-0.32,0.527,0.511
18.0,4.714,2.585,-0.298,0.524,0.51
18.05,4.764,2.592,-0.274,0.521,0.508
18.1,4.813,2.599,-0.25,0.517,0.507
18.15,4.863,2.605,-0.226,0.513,0.506
18.2,4.913,2.611,-0.202,0.508,0.504
18.25,4.962,2.616,-0.177,0.504,0.503
18.3,5.012,2.621,-0.153,0.499,0.502
18.35,5.062,2.625,-0.127,0.495,0.502
18.4,5.112,2.629,-0.1,0.49,0.501
18.45,5.162,2.632,-0.071,0.486,0.501
18.5,5.212,2.636,-0.039,0.482,0.501
18.55,5.261,2.639,-0.005,0.478,0.502
18.6,5.311,2.643,0.033,0.474,0.503
18.65,5.361,2.646,0.076,0.471,0.505
18.7,5.411,2.65,0.125,0.467,0.507
18.75,5.461,2.654,0.18,0.465,0.51
18.8,5.511,2.658,0.244,0.462,0.513
18.85,5.561,2.663,0.317,0.46,0.517
18.9,5.61,2.669,0.401,0.458,0.521
18.95,5.66,2.676,0.499,0.456,0.526
19.0,5.709,2.684,0.613,0.455,0.531
19.05,5.758,2.693,0.743,0.454,0.537
19.1,5.807,2.704,0.893,0.453,0.543
19.15,5.855,2.718,1.061,0.452,0.549
19.2,5.902,2.734,1.245,0.452,0.555
19.25,5.949,2.753,1.437,0.451,0.562
19.3,5.994,2.775,1.624,0.451,0.568
19.35,6.036,2.801,1.789,0.451,0.575
19.4,6.077,2.83,1.911,0.45,0.581
19.45,6.114,2.863,1.976,0.45,0.587
19.5,6.148,2.9,1.979,0.45,0.592
19.55,6.178,2.94,1.928,0.45,0.598
19.6,6.204,2.983,1.841,0.449,0.603
19.65,6.226,3.028,1.741,0.449,0.607
19.7,6.244,3.074,1.644,0.448,0.611
19.75,6.258,3.122,1.566,0.447,0.614
19.8,6.269,3.171,1.513,0.446,0.617
19.85,6.275,3.221,1.491,0.445,0.619
19.9,6.278,3.27,1.498,0.444,0.62
19.95,6.277,3.32,1.535,0.442,0.621
20.0,6.273,3.37,1.596,0.441,0.62
20.05,6.264,3.42,1.675,0.439,0.62
20.1,6.252,3.468,1.763,0.438,0.618
20.15,6.235,3.515,1.845,0.436,0.616
20.2,6.214,3.56,1.907,0.434,0.612
