s,x,y,kappa,n_l,n_r
13.8,0.653,2.628,-0.8,0.519,0.352
13.85,0.702,2.639,-0.711,0.503,0.356
13.9,0.751,2.649,-0.633,0.495,0.368
13.95,0.801,2.657,-0.565,0.485,0.374
14.0,0.85,2.663,-0.506,0.481,0.37
14.05,0.9,2.668,-0.454,0.478,0.384
14.1,0.95,2.673,-0.408,0.47,0.403
14.15,1.0,2.676,-0.368,0.471,0.415
14.2,1.05,2.678,-0.333,0.483,0.428
14.25,1.1,2.679,-0.302,0.482,0.418
14.3,1.15,2.68,-0.275,0.476,0.435
14.35,1.2,2.68,-0.251,0.476,0.444
14.4,1.25,2.679,-0.231,0.477,0.458
14.45,1.299,2.678,-0.215,0.478,0.457
14.5,1.349,2.676,-0.202,0.48,0.46
14.55,1.399,2.674,-0.192,0.487,0.464
14.6,1.449,2.671,-0.185,0.5,0.461
14.65,1.499,2.668,-0.181,0.494,0.469
14.7,1.549,2.665,-0.181,0.513,0.49
14.75,1.599,2.661,-0.183,0.517,0.486
14.8,1.649,2.656,-0.189,0.522,0.493
14.85,1.698,2.651,-0.198,0.533,0.488
14.9,1.748,2.646,-0.211,0.549,0.488
14.95,1.798,2.64,-0.226,0.55,0.487
15.0,1.847,2.633,-0.244,0.558,0.503
15.05,1.897,2.626,-0.265,0.567,0.518
15.1,1.946,2.618,-0.287,0.576,0.519
15.15,1.995,2.609,-0.311,0.586,0.535
15.2,2.045,2.6,-0.336,0.597,0.544
15.25,2.094,2.59,-0.361,0.61,0.541
15.3,2.142,2.579,-0.384,0.624,0.539
15.35,2.191,2.567,-0.403,0.639,0.555
15.4,2.239,2.554,-0.419,0.656,0.561
15.45,2.287,2.54,-0.428,0.675,0.554
15.5,2.335,2.525,-0.429,0.695,0.553
15.55,2.382,2.509,-0.42,0.717,0.564
15.6,2.429,2.492,-0.4,0.741,0.563
15.65,2.476,2.474,-0.367,0.765,0.557
15.7,2.522,2.455,-0.322,0.79,0.563
15.75,2.568,2.436,-0.263,0.823,0.572
15.8,2.614,2.416,-0.19,0.849,0.564
15.85,2.66,2.395,-0.106,0.869,0.564
15.9,2.705,2.374,-0.009,0.892,0.57
15.95,2.751,2.353,0.097,0.845,0.56
16.0,2.796,2.333,0.212,0.747,0.557
16.05,2.842,2.313,0.331,0.668,0.549
16.1,2.888,2.293,0.454,0.619,0.54
16.15,2.934,2.275,0.574,0.58,0.533
16.2,2.981,2.258,0.689,0.493,0.52
16.25,3.029,2.242,0.794,0.389,0.497
16.3,3.077,2.229,0.884,0.322,0.508
16.35,3.126,2.218,0.955,0.244,0.479
16.4,3.175,2.209,1.005,0.218,0.478
16.45,3.225,2.202,1.032,0.221,0.474
16.5,3.274,2.198,1.037,0.233,0.478
16.55,3.324,2.197,1.022,0.234,0.454
16.6,3.374,2.198,0.989,0.228,0.478
16.65,3.424,2.202,0.941,0.235,0.451
16.7,3.474,2.208,0.882,0.241,0.467
16.75,3.523,2.216,0.814,0.335,0.463
16.8,3.572,2.227,0.738,0.367,0.478
16.85,3.621,2.239,0.658,0.463,0.484
16.9,3.669,2.252,0.574,0.559,0.485
16.95,3.716,2.267,0.487,0.656,0.491
17.0,3.764,2.284,0.398,0.736,0.496
17.05,3.811,2.301,0.309,0.826,0.501
17.1,3.857,2.319,0.22,0.856,0.503
17.15,3.904,2.337,0.133,0.844,0.523
17.2,3.95,2.356,0.049,0.826,0.523
17.25,3.997,2.375,-0.03,0.805,0.522
17.3,4.043,2.393,-0.104,0.784,0.536
17.35,4.089,2.412,-0.172,0.762,0.538
17.4,4.136,2.43,-0.231,0.74,0.528
17.45,4.183,2.447,-0.281,0.718,0.539
17.5,4.23,2.464,-0.321,0.696,0.549
17.55,4.277,2.48,-0.352,0.675,0.541
17.6,4.325,2.496,-0.372,0.65,0.539
17.65,4.373,2.51,-0.384,0.636,0.545
17.7,4.421,2.523,-0.387,0.619,0.551
17.75,4.469,2.536,-0.383,0.598,0.548
17.8,4.518,2.547,-0.373,0.583,0.535
17.85,4.567,2.558,-0.359,0.57,0.538
17.9,4.616,2.568,-0.34,0.558,0.547
17.95,4.665,2.577,-0.32,0.547,0.538
18.0,4.714,2.585,-0.298,0.538,0.53
18.05,4.764,2.592,-0.274,0.529,0.525
18.1,4.813,2.599,-0.25,0.516,0.527
18.15,4.863,2.605,-0.226,0.514,0.525
18.2,4.913,2.611,-0.202,0.508,0.503
18.25,4.962,2.616,-0.177,0.497,0.507
18.3,5.012,2.621,-0.153,0.492,0.501
18.35,5.062,2.625,-0.127,0.488,0.495
18.4,5.112,2.629,-0.1,0.484,0.519
18.45,5.162,2.632,-0.071,0.48,0.508
18.5,5.212,2.636,-0.039,0.471,0.476
18.55,5.261,2.639,-0.005,0.468,0.469
18.6,5.311,2.643,0.033,0.465,0.483
18.65,5.361,2.646,0.076,0.461,0.473
18.7,5.411,2.65,0.125,0.452,0.465
18.75,5.461,2.654,0.18,0.442,0.499
18.8,5.511,2.658,0.244,0.445,0.485
18.85,5.561,2.663,0.317,0.451,0.465
18.9,5.61,2.669,0.401,0.451,0.482
18.95,5.66,2.676,0.499,0.435,0.48
19.0,5.709,2.684,0.613,0.429,0.49
19.05,5.758,2.693,0.743,0.422,0.508
19.1,5.807,2.704,0.893,0.44,0.525
19.15,5.855,2.718,1.061,0.443,0.546
19.2,5.902,2.734,1.245,0.469,0.584
19.25,5.949,2.753,1.437,0.464,0.616
19.3,5.994,2.775,1.624,0.463,0.671
19.35,6.036,2.801,1.789,0.466,0.743
19.4,6.077,2.83,1.911,0.467,0.834
19.45,6.114,2.863,1.976,0.468,0.97
19.5,6.148,2.9,1.979,0.471,0.896
19.55,6.178,2.94,1.928,0.47,0.796
19.6,6.204,2.983,1.841,0.471,0.715
19.65,6.226,3.028,1.741,0.473,0.671
19.7,6.244,3.074,1.644,0.473,0.643
19.75,6.258,3.122,1.566,0.471,0.617
19.8,6.269,3.171,1.513,0.465,0.621
19.85,6.275,3.221,1.491,0.462,0.614
19.9,6.278,3.27,1.498,0.457,0.628
19.95,6.277,3.32,1.535,0.452,0.64
20.0,6.273,3.37,1.596,0.455,0.674
20.05,6.264,3.42,1.675,0.453,0.718
20.1,6.252,3.468,1.763,0.456,0.748
20.15,6.235,3.515,1.845,0.452,0.802
20.2,6.214,3.56,1.907,0.449,0.85
20.25,6.188,3.603,1.933,0.445,0.878
20.3,6.159,3.644,1.915,0.44,0.857
20.35,6.126,3.681,1.848,0.438,0.796
20.4,6.089,3.715,1.74,0.431,0.736
20.45,6.05,3.746,1.602,0.425,0.672
20.5,6.008,3.774,1.447,0.425,0.636
20.55,5.965,3.798,1.288,0.416,0.606
20.6,5.92,3.82,1.133,0.403,0.571
20.65,5.873,3.839,0.988,0.395,0.58
20.7,5.826,3.856,0.855,0.384,0.562
20.75,5.779,3.871,0.735,0.385,0.547
20.8,5.73,3.884,0.628,0.446,0.534
20.85,5.682,3.895,0.533,0.444,0.513
20.9,5.633,3.905,0.448,0.431,0.505
20.95,5.584,3.914,0.372,0.424,0.494
21.0,5.534,3.923,0.304,0.427,0.484
21.05,5.485,3.93,0.242,0.438,0.481
21.1,5.435,3.937,0.187,0.456,0.468
21.15,5.386,3.943,0.137,0.458,0.471
21.2,5.336,3.949,0.092,0.441,0.465
21.25,5.286,3.955,0.051,0.472,0.454
21.3,5.237,3.961,0.014,0.465,0.453
21.35,5.187,3.967,-0.018,0.471,0.463
