s,x,y,kappa,n_l,n_r
3.37,3.397,0.089,0.158,0.654,0.634
3.38,3.407,0.089,0.16,0.653,0.632
3.39,3.417,0.089,0.163,0.653,0.631
3.4,3.427,0.089,0.165,0.652,0.629
3.41,3.437,0.089,0.167,0.651,0.628
3.42,3.447,0.09,0.169,0.65,0.626
3.43,3.457,0.09,0.17,0.649,0.625
3.44,3.467,0.09,0.172,0.649,0.623
3.45,3.477,0.09,0.173,0.647,0.622
3.46,3.487,0.091,0.175,0.642,0.621
3.47,3.497,0.091,0.176,0.637,0.619
3.48,3.507,0.091,0.177,0.632,0.618
3.49,3.517,0.092,0.178,0.627,0.617
3.5,3.527,0.092,0.179,0.621,0.615
3.51,3.537,0.092,0.18,0.616,0.614
3.52,3.547,0.093,0.181,0.616,0.613
3.53,3.557,0.093,0.181,0.615,0.612
3.54,3.567,0.094,0.181,0.614,0.61
3.55,3.577,0.094,0.179,0.614,0.609
3.56,3.587,0.094,0.177,0.613,0.608
3.57,3.597,0.095,0.172,0.612,0.607
3.58,3.607,0.095,0.166,0.612,0.606
3.59,3.617,0.096,0.158,0.611,0.604
3.6,3.627,0.096,0.148,0.61,0.603
3.61,3.637,0.097,0.138,0.61,0.602
3.62,3.647,0.098,0.126,0.609,0.601
3.63,3.657,0.098,0.115,0.608,0.6
3.64,3.667,0.099,0.103,0.607,0.599
3.65,3.677,0.099,0.093,0.607,0.598
3.66,3.687,0.1,0.084,0.606,0.597
3.67,3.697,0.101,0.076,0.605,0.596
3.68,3.707,0.101,0.07,0.604,0.595
3.69,3.717,0.102,0.065,0.603,0.595
3.7,3.727,0.103,0.061,0.602,0.594
3.71,3.737,0.103,0.058,0.601,0.593
3.72,3.747,0.104,0.057,0.601,0.592
3.73,3.757,0.105,0.056,0.6,0.591
3.74,3.767,0.105,0.057,0.599,0.59
3.75,3.777,0.106,0.06,0.598,0.589
3.76,3.787,0.107,0.063,0.597,0.588
3.77,3.797,0.107,0.067,0.596,0.587
3.78,3.807,0.108,0.071,0.595,0.586
3.79,3.817,0.109,0.076,0.594,0.586
3.8,3.827,0.109,0.08,0.594,0.585
3.81,3.837,0.11,0.083,0.593,0.584
3.82,3.847,0.111,0.086,0.592,0.583
3.83,3.857,0.111,0.088,0.591,0.582
3.84,3.867,0.112,0.089,0.59,0.581
3.85,3.877,0.113,0.089,0.589,0.58
3.86,3.887,0.114,0.089,0.588,0.58
3.87,3.897,0.114,0.088,0.587,0.579
3.88,3.907,0.115,0.087,0.586,0.578
3.89,3.917,0.116,0.086,0.585,0.577
3.9,3.927,0.117,0.085,0.584,0.576
3.91,3.937,0.118,0.084,0.583,0.576
3.92,3.946,0.118,0.082,0.582,0.575
3.93,3.956,0.119,0.081,0.581,0.574
3.94,3.966,0.12,0.079,0.58,0.573
3.95,3.976,0.121,0.077,0.579,0.573
3.96,3.986,0.122,0.076,0.578,0.572
3.97,3.996,0.122,0.074,0.577,0.571
3.98,4.006,0.123,0.072,0.576,0.571
3.99,4.016,0.124,0.07,0.575,0.57
4.0,4.026,0.125,0.068,0.574,0.569
4.01,4.036,0.126,0.066,0.573,0.568
4.02,4.046,0.127,0.064,0.572,0.568
4.03,4.056,0.128,0.062,0.571,0.567
4.04,4.066,0.129,0.06,0.57,0.566
4.05,4.076,0.129,0.058,0.568,0.566
4.06,4.086,0.13,0.056,0.567,0.565
4.07,4.096,0.131,0.054,0.566,0.565
4.08,4.106,0.132,0.052,0.565,0.564
4.09,4.116,0.133,0.049,0.564,0.563
4.1,4.126,0.134,0.047,0.563,0.563
4.11,4.136,0.135,0.045,0.562,0.562
4.12,4.146,0.136,0.042,0.56,0.561
4.13,4.156,0.137,0.04,0.559,0.561
4.14,4.166,0.138,0.037,0.558,0.56
4.15,4.176,0.139,0.034,0.557,0.56
4.16,4.186,0.14,0.032,0.556,0.559
4.17,4.195,0.141,0.029,0.555,0.558
4.18,4.205,0.142,0.026,0.553,0.558
4.19,4.215,0.143,0.024,0.552,0.557
4.2,4.225,0.144,0.021,0.551,0.557
4.21,4.235,0.144,0.018,0.55,0.556
4.22,4.245,0.145,0.015,0.549,0.556
4.23,4.255,0.146,0.012,0.547,0.555
4.24,4.265,0.147,0.009,0.546,0.554
4.25,4.275,0.148,0.006,0.545,0.554
4.26,4.285,0.149,0.003,0.544,0.553
4.27,4.295,0.15,-0.0,0.543,0.553
4.28,4.305,0.151,-0.004,0.541,0.552
4.29,4.315,0.152,-0.007,0.54,0.552
4.3,4.325,0.153,-0.011,0.539,0.551
4.31,4.335,0.154,-0.015,0.538,0.551
4.32,4.345,0.155,-0.02,0.536,0.55
4.33,4.355,0.156,-0.026,0.535,0.549
4.34,4.365,0.157,-0.033,0.534,0.549
4.35,4.375,0.158,-0.041,0.533,0.548
4.36,4.385,0.159,-0.05,0.532,0.548
4.37,4.395,0.16,-0.06,0.53,0.547
4.38,4.405,0.161,-0.071,0.531,0.547
4.39,4.414,0.162,-0.083,0.532,0.546
4.4,4.424,0.163,-0.094,0.533,0.545
4.41,4.434,0.164,-0.103,0.534,0.545
4.42,4.444,0.165,-0.111,0.535,0.544
4.43,4.454,0.165,-0.116,0.536,0.544
4.44,4.464,0.166,-0.118,0.537,0.543
4.45,4.474,0.167,-0.117,0.538,0.543
4.46,4.484,0.168,-0.114,0.539,0.542
4.47,4.494,0.169,-0.109,0.54,0.541
4.48,4.504,0.17,-0.102,0.541,0.541
4.49,4.514,0.171,-0.095,0.542,0.54
4.5,4.524,0.171,-0.086,0.543,0.539
