s,x,y,kappa
1.04,1.1266502787667723,0.08626187093948967,0.019765001502699713
1.05,1.1366132036319212,0.08540156000834824,0.013102315468464045
1.06,1.1465760505101186,0.08454034015932303,0.005438057203832828
1.07,1.156538372188386,0.08367307411783265,-0.0031798829870846477
1.08,1.1665004544249349,0.08280305316679075,-0.012610558741157237
1.09,1.1764631512275803,0.08194012411103083,-0.022641092730256277
1.1,1.1864263034523692,0.0810824484117668,-0.03301728540008191
1.11,1.1963886866661897,0.0802159033548084,-0.043476576400283115
1.12,1.2063504468034763,0.07934219004781788,-0.05376869939529426
1.13,1.2163117991834396,0.07846386174967203,-0.06365284927174056
1.14,1.2262722532393673,0.07757540592348568,-0.0728630111249392
1.15,1.2362316880289252,0.0766755851169738,-0.08104869486232653
1.16,1.2461903941989343,0.07576774622603866,-0.08771704818608936
1.17,1.2561489901112497,0.07485869705172274,-0.09221397964706003
1.18,1.2661071509186477,0.07394488951156777,-0.09377644778214969
1.19,1.27606403098592,0.07301720501939343,-0.09166276886046852
1.2,1.286019175883771,0.07207115076915342,-0.08533883078408787
1.21,1.2959727535894217,0.07110864562373566,-0.07466721042096605
1.22,1.3059247796964741,0.07013020844604288,-0.06002855699995584
1.23,1.3158738510110124,0.06912234423927274,-0.04232072245463823
1.24,1.3258218065258003,0.0681034017718194,-0.022824607106637907
1.25,1.335771609256938,0.06710269162044513,-0.002973500497220262
1.26,1.345722108156842,0.06610888491790302,0.01590556431777155
1.27,1.3556731651157126,0.0651207462013986,0.032802666152690424
1.28,1.3656253273036676,0.06414377598824221,0.047132454308477886
1.29,1.3755779711824354,0.06317170665676534,0.05872733557480155
1.3,1.3855312222296319,0.06220590534729692,0.06774624854228976
1.31,1.3954854108264751,0.06124979794643328,0.07454110136084148
1.32,1.4054401717622267,0.060299681188174734,0.07953176617004803
1.33,1.4153953649460398,0.05935407019621559,0.08313293804204001
1.34,1.4253514648336478,0.05841807409892667,0.0857325917783745
1.35,1.4353093937193069,0.05750177722548577,0.08769793668173342
1.36,1.4452682204761687,0.056595231314637055,0.08939156212292727
1.37,1.455227098185745,0.05568928019738784,0.09118497635865044
1.38,1.4651864035210829,0.05478799731603035,0.09344537862336183
1.39,1.4751472681245996,0.05390421291391332,0.09648721133253718
1.4,1.4851093625807255,0.05303430413031851,0.10051297567663771
1.41,1.4950713817464703,0.0521635755999206,0.10555447118510768
1.42,1.5050336109565903,0.05129523488610428,0.1114278847344567
1.43,1.5149967894457625,0.05043788174080549,0.11771470281090661
1.44,1.5249613767676045,0.049597033599355744,0.12376360490126831
1.45,1.5349271469768175,0.04877030436217467,0.12872923475776155
1.46,1.5448940900249812,0.04795790830544409,0.13165273166796157
1.47,1.5548620187624234,0.04715762809191942,0.13157601926176565
1.48,1.564830776464241,0.04636767819604889,0.12769622487844345
1.49,1.5748016341794797,0.04560493999851098,0.11953977601197002
1.5,1.5847740781839663,0.044862951702056224,0.10711579207012287
1.51,1.5947470049634167,0.04412761677066928,0.09101201150190734
1.52,1.6047215160670558,0.04341402685495214,0.07238039829735222
1.53,1.6146983389355423,0.042733531313995425,0.05278388220821544
1.54,1.6246757820385254,0.04206231729221044,0.033931535521433354
1.55,1.634650974145759,0.04135841176570691,0.01735794286429529
1.56,1.6446255488434092,0.040645612807760294,0.004133791234869143
1.57,1.6545995494740016,0.03992507657525583,-0.005309189753577404
1.58,1.6645727845100393,0.0391939026780672,-0.011204611266288933
1.59,1.6745469223922307,0.03847515388063418,-0.01432731796928709
1.6,1.6845204567535141,0.037748156382590055,-0.015746960428606228
1.61,1.6944933272793168,0.03701202644976556,-0.016542999268224848
1.62,1.7044670106721944,0.036287014252402716,-0.017587961541403966
1.63,1.7144409030193777,0.035564878918700936,-0.019417883784171794
1.64,1.7244150822990056,0.034846713999906145,-0.02218032843483749
1.65,1.734389240946282,0.03412828269289786,-0.025687751852839533
1.66,1.744362438067167,0.033396626603229534,-0.029541297636330073
1.67,1.754335789580956,0.03266702989527576,-0.033258715289032355
1.68,1.764308875990624,0.03193390205334971,-0.036378414710484364
1.69,1.7742810146201684,0.031187931501357267,-0.03852448643588245
1.7,1.7842534358352884,0.030445724638687194,-0.039406743916734294
1.71,1.7942251503870281,0.029694188109358168,-0.038773258625978996
1.72,1.8041961264718098,0.02893281435219392,-0.03636523870399755
1.73,1.8141673315553815,0.02817446810407668,-0.03187830014497364
1.74,1.824137369923933,0.027400943762186866,-0.02496177202817767
1.75,1.8341072464245847,0.02662545711968231,-0.01530671627624346
1.76,1.844078793372028,0.02587153697129666,-0.002788134457986261
1.77,1.854051285461549,0.025129444969551454,0.012401665544668528
1.78,1.8640182308171893,0.024318184194231297,0.02967858574803299
1.79,1.8739829048489511,0.02347822629375337,0.048097017775451334
1.8,1.8839529876012524,0.022705141101225807,0.06647849732096354
1.81,1.8939242458785959,0.021947261773866203,0.08359017692248522
1.82,1.9038954779844137,0.02118932443267601,0.09831071691934933
1.83,1.9138680972439552,0.020449824128661264,0.10972681517000529
1.84,1.9238429249932107,0.019740772067477437,0.11716105816966006
1.85,1.9338171835300777,0.019023590072434843,0.12016227129895359
