x,y,yaw,v_ref
-2.4998,-1.72801,1.54836,1
-2.49956,-1.71702,1.53939,1
-2.49921,-1.70602,1.53042,1
-2.49877,-1.69503,1.52145,1
-2.49822,-1.68404,1.51249,1
-2.49758,-1.67306,1.50353,1
-2.49684,-1.66207,1.49458,1
-2.496,-1.65109,1.48563,1
-2.49507,-1.64012,1.47669,1
-2.49403,-1.62914,1.46776,1
-2.4929,-1.61818,1.45884,1
-2.49166,-1.60722,1.44992,1
-2.49033,-1.59626,1.44102,1
-2.4889,-1.58531,1.43212,1
-2.48738,-1.57437,1.42324,1
-2.48575,-1.56343,1.41437,1
-2.48403,-1.5525,1.40551,1
-2.48221,-1.54158,1.39667,1
-2.48029,-1.53067,1.38783,1
-2.47827,-1.51976,1.37902,1
-2.47615,-1.50887,1.37021,1
-2.47394,-1.49798,1.36143,1
-2.47163,-1.48711,1.35266,1
-2.46922,-1.47624,1.34391,1
-2.46671,-1.46538,1.33517,1
-2.46411,-1.45454,1.32645,1
-2.46141,-1.44371,1.31775,1
-2.45861,-1.43289,1.30907,1
-2.45572,-1.42208,1.30042,1
-2.45273,-1.41129,1.29178,1
-2.44964,-1.40051,1.28316,1
-2.44645,-1.38974,1.27456,1
-2.44317,-1.37899,1.26599,1
-2.43979,-1.36825,1.25743,1
-2.43632,-1.35753,1.2489,1
-2.43275,-1.34682,1.2404,1
-2.42908,-1.33613,1.23192,1
-2.42532,-1.32545,1.22346,1
-2.42146,-1.31479,1.21503,1
-2.4175,-1.30415,1.20662,1
-2.41345,-1.29353,1.19823,1
-2.40931,-1.28292,1.18988,1
-2.40507,-1.27233,1.18155,1
-2.40073,-1.26177,1.17325,1
-2.3963,-1.25122,1.16497,1
-2.39178,-1.24069,1.15672,1
-2.38716,-1.23018,1.1485,1
-2.38245,-1.21969,1.14031,1
-2.37764,-1.20922,1.13214,1
-2.37274,-1.19877,1.12401,1
-2.36775,-1.18835,1.1159,1
-2.36266,-1.17795,1.10782,1
-2.35748,-1.16757,1.09977,1
-2.3522,-1.15721,1.09176,1
-2.34683,-1.14687,1.08377,1
-2.34137,-1.13656,1.07581,1
-2.33582,-1.12628,1.06788,1
-2.33018,-1.11602,1.05998,1
-2.32444,-1.10578,1.05212,1
-2.31861,-1.09557,1.04428,1
-2.31269,-1.08539,1.03648,1
-2.30668,-1.07523,1.0287,1
-2.30058,-1.0651,1.02096,1
-2.29439,-1.05499,1.01325,1
-2.2881,-1.04491,1.00557,1
-2.28173,-1.03486,0.997927,1
-2.27526,-1.02484,0.990312,1
-2.26871,-1.01485,0.982728,1
-2.26207,-1.00489,0.975177,1
-2.25533,-0.994952,0.967658,1
-2.24851,-0.985047,0.960171,1
-2.2416,-0.975173,0.952716,1
-2.2346,-0.965329,0.945293,1
-2.22752,-0.955517,0.937903,1
-2.22034,-0.945735,0.930545,1
-2.21308,-0.935986,0.923218,1
-2.20573,-0.926268,0.915924,1
-2.19829,-0.916583,0.908663,1
-2.19077,-0.906931,0.901433,1
-2.18316,-0.897312,0.894236,1
-2.17546,-0.887727,0.88707,1
-2.16768,-0.878176,0.879937,1
-2.15981,-0.868659,0.872836,1
-2.15186,-0.859178,0.865766,1
-2.14382,-0.849731,0.858729,1
-2.13569,-0.84032,0.851723,1
-2.12749,-0.830944,0.844749,1
-2.11919,-0.821605,0.837807,1
-2.11082,-0.812303,0.830896,1
-2.10236,-0.803038,0.824016,1
-2.09382,-0.79381,0.817168,1
-2.0852,-0.78462,0.810352,1
-2.07649,-0.775468,0.803566,1
-2.0677,-0.766354,0.796811,1
-2.05883,-0.757279,0.790087,1
-2.04988,-0.748244,0.783394,1
-2.04085,-0.739248,0.776731,1
-2.03174,-0.730292,0.770099,1
-2.02254,-0.721376,0.763497,1
-2.01327,-0.712501,0.756925,1
-2.00392,-0.703666,0.750383,1
-1.99449,-0.694873,0.743871,1
-1.98498,-0.686122,0.737389,1
-1.97539,-0.677413,0.730936,1
-1.96572,-0.668746,0.724512,1
-1.95598,-0.660121,0.718118,1
-1.94616,-0.65154,0.711752,1
-1.93626,-0.643002,0.705415,1
-1.92628,-0.634508,0.699107,1
-1.91623,-0.626058,0.692827,1
-1.90611,-0.617652,0.686575,1
